452,30,564,28,565,56,453,58,JAPAN
370,34,427,34,427,60,370,60,LTD.
304,37,341,37,341,62,304,62,CO.
176,38,278,37,279,64,177,66,MOTOR
36,41,156,39,157,66,37,68,NISSAN
324,71,525,68,526,95,325,98,LDF-VW6E26
139,76,172,76,172,86,139,86,TYPE
90,83,129,83,129,100,90,100,**
139,90,172,90,172,100,139,100,TIPO
261,106,527,101,528,129,262,134,VW6E26-001562
26,110,76,110,76,120,26,120,CHASSIS
82,110,98,110,98,119,82,119,NO.
549,119,557,119,557,124,549,124,0OI
26,125,62,125,62,133,26,133,NO.DE
69,125,112,125,112,133,69,133,CHASIS
163,141,527,137,528,164,164,168,HVL6RDKE26KZ9AAB-E
26,144,67,144,67,152,26,152,MODEL
26,157,76,157,76,165,26,165,MODELO
26,174,93,174,93,184,26,184,**-COLOR.
99,174,128,174,128,184,99,184,TRIM
406,174,420,174,420,199,406,199,W
324,174,376,174,376,200,324,200,QM1
27,189,49,189,49,196,27,196,*9A
58,189,93,189,93,197,58,197,COLOR.
99,188,172,188,172,198,99,198,GUARNICION
26,206,95,208,94,216,25,215,**ENGINE
343,206,421,206,421,233,343,233,YD25
446,205,528,205,528,233,446,233,2488
26,218,88,220,87,229,25,228,**MOTOR
556,222,578,222,578,234,556,234,CC
26,236,66,236,66,244,26,244,*****
69,234,105,236,104,245,68,244,TRANS.
118,236,147,236,147,245,118,245,AXLE
283,240,422,240,422,267,283,267,RE5R05A
448,241,527,241,527,267,448,267,CA37
25,247,61,248,60,258,24,256,7***
69,249,105,249,105,258,69,258,TRANS.
118,249,140,249,140,259,118,259,EJE
384,273,426,273,426,282,384,282,PLANT
332,275,370,275,370,291,332,291,T*
510,276,526,276,526,302,510,302,9
383,283,433,283,433,293,383,293,PLANTA
84,284,288,284,288,310,84,310,*********
376,299,404,299,404,313,376,313,MADE
409,300,423,300,423,313,409,313,IN
430,300,461,300,461,314,430,314,JMPAN
197,374,318,377,317,395,196,391,VN6E26
351,380,384,380,384,397,351,397,00
389,382,455,382,455,399,389,399,156
456,383,477,383,477,400,456,400,2
12,394,98,395,97,408,11,406,CasaPagp
130,395,183,395,183,406,130,406,28B0lA
102,396,128,396,128,407,102,407,RBELEZ
