352,24,520,22,521,47,353,49,1N11ST31ES
541,23,602,23,602,45,541,45,0
233,29,327,27,328,51,233,53,SE1EE
142,30,210,30,210,56,142,56,F0I
462,58,604,56,604,82,463,84,SE3
377,67,413,69,413,82,376,80,S*
558,100,600,100,600,114,558,114,(RN
544,103,555,103,555,113,544,113,
382,107,534,103,535,130,383,134,BP9-R2
115,109,163,109,163,122,115,122,**48
130,131,152,131,152,145,130,145,**
653,144,677,144,677,164,653,164,*
430,149,457,149,457,172,430,172,M
593,152,639,152,639,177,593,177,T3
128,156,407,156,407,192,128,192,2**5L
448,166,464,166,464,179,448,179,-
480,166,503,166,503,180,480,180,US
321,200,343,200,343,214,321,214,SE
387,212,639,202,641,229,388,239,E1E533083
63,208,86,208,86,217,63,217,83
89,210,98,210,98,216,89,216,N
266,217,302,217,302,237,266,237,BA
174,217,250,217,250,243,174,243,D21
319,224,336,224,336,235,319,235,NE
49,226,122,225,122,240,49,242,TT* IDE
335,247,640,247,640,283,335,283,*E1ERES
267,251,332,247,333,281,269,284,*
49,253,113,253,113,265,49,265,***2-
115,254,125,254,125,261,115,261,S
173,259,243,259,243,290,173,290,E61
48,275,126,273,126,287,48,289,1BS
