319,35,391,35,391,59,319,59,FUS0
141,39,302,37,303,62,142,64,MITSUBISHU
225,66,394,62,395,80,226,84,BUS CORPORATION
141,67,221,67,221,85,141,85,TRUCK8
140,132,352,129,353,156,141,158,TPG-FDA00
19,138,83,138,83,149,19,149,MODEL
71,168,134,168,134,179,71,179,CHASSIS
190,167,330,167,330,194,190,194,520018
115,184,134,184,134,195,115,195,NO.
405,204,454,204,454,216,405,216,WHEEL
513,204,532,204,532,230,513,230,B
189,207,292,207,292,233,189,233,4P100
71,213,136,213,136,225,71,225,ENGINE
435,219,475,219,475,231,435,231,BASE
104,280,488,280,488,308,104,308,**3*5*********
