77,25,375,41,373,88,74,72,DAIHATSU
391,42,693,58,691,106,388,90,MOTORCO
727,62,830,67,828,110,725,106,LTD.
844,80,991,85,990,118,843,113,JAPAN
41,85,185,91,184,124,39,118,TYPE
690,91,721,91,721,111,690,111,**
215,89,843,115,842,161,214,136,DBA-L275S-GBGF
827,101,836,101,836,111,827,111,*-
39,141,147,145,146,177,38,174,CHASSIS
222,142,739,168,737,209,220,183,L275S-008779
158,146,192,146,192,177,158,177,NO.
744,169,782,169,782,204,744,204,4
60,195,195,200,194,229,59,225,ENGINE
219,195,430,199,429,237,218,233,KF-VE
617,211,730,215,729,250,616,246,658
746,220,795,220,795,241,746,241,CC
397,246,515,251,513,290,395,285,W24
212,251,379,257,378,284,211,278,COLOR
696,258,843,264,842,303,694,297,YA41
570,263,675,268,673,294,568,290,TRIM
475,393,569,393,569,418,475,418,ENGINE
578,395,612,395,612,419,578,419,NO
248,432,839,444,839,479,247,467,**********
